   St.     E_TM         N_TM       Y_GK     X_GK
  A62   397145.717    48009.191   396773    48496
  A63   403793.593    49422.293   403421    49909
  A64   405893.485    55886.324   405521    56373
  A65   407993.452    62349.318   407621    62836
  A66   403445.549    67400.192   403073    67887
  A67   398898.585    72449.958   398526    72937
  A68   394350.557    77500.751   393978    77988
  A69   389803.443    82550.651   389431    83038
  A70   391903.263    89014.576   391531    89502
  A71   387355.234    94064.495   386983    94552
  A72   382808.210    99115.311   382436    99603
  A73   384908.147   105579.176   384536   106067
  A74   387007.983   112041.950   386636   112530
  A75   382459.752   117092.743   382088   117581
  A76   377913.019   122142.667   377541   122631
  A77   380012.777   128606.441   379641   129095
  A78   382112.525   135069.464   381741   135558
  A79   384212.581   141533.437   383841   142022
  A80   390860.566   142946.414   390489   143435
  A81   397508.380   144359.452   397137   144848
  A82   399608.126   150822.373   399237   151311
  A83   406254.917   152235.480   405884   152724
  A84   412902.704   153648.576   412532   154137
  A85   419550.455   155061.657   419180   155550
  A86   424097.418   150011.833   423727   150500
  A87   430745.184   151424.921   430375   151913
  A88   435293.172   146374.151   434923   146862
  A89   441939.921   147787.457   441570   148275
  A90   446488.075   142737.686   446118   143225
  A91   453135.033   144150.877   452765   144638
  A92   459782.954   145563.982   459413   146051
  A93   466430.821   146977.072   466061   147464
  A94   473077.663   148390.193   472708   148877
  A95   479725.484   149803.323   479356   150290
  A96   486373.307   151216.485   486004   151703
  A97   488473.027   157679.386   488104   158166
  A98   490572.730   164143.344   490204   164630
  A99   497220.557   165556.602   496852   166043
 A100   503867.579   166969.859   503499   167456
 A101   510515.397   168382.988   510147   168869
 A102   517163.080   169796.173   516795   170282
 A103   521710.125   164745.504   521342   165231
 A104   528358.049   166158.796   527990   166644
 A105   535005.068   167572.032   534637   168057
 A106   541653.078   168985.146   541285   169470
 A107   548300.947   170398.315   547933   170883
 A108   554947.854   171811.634   554580   172296
 A109   561595.687   173224.953   561228   173709
 A110   568243.675   174638.289   567876   175122
 A111   574890.765   176051.600   574523   176535
 A112   576991.550   182515.629   576624   182999
 A113   579091.285   188979.659   578724   189463
 A114   585738.292   190392.901   585371   190876
 A115   592386.256   191806.136   592019   192289
   B1   596290.874   200404.283   595924   200887
   B2   603994.842   199064.579   603628   199547
   B3   609228.092   193252.885   608861   193735
   B4   610660.632   183655.944   610293   184138
   B5   616224.084   176689.109   615856   177171
   B6   617656.487   167091.959   617288   167574
   B7   623219.792   160124.022   622851   160606
   B8   630154.104   152423.095   629785   152905
   B9   627189.227   143297.939   626820   143780
  B10   617053.196   141143.676   616684   141626
  B11   608457.215   138776.462   608088   139259
  B12   603784.504   132305.341   603415   132788
  B13   595010.527   130439.949   594641   130923
  B14   586413.437   128072.509   586044   128556
  B15   579556.482   121137.227   579187   121621
  B16   570922.567   116601.305   570553   117085
  B17   564354.082   108016.999   563984   108501
  B18   564623.307    97210.951   564253    97695
  B19   563159.584    87751.925   562789    88236
  B20   563653.905    77343.925   563283    77828
  B21   558367.123    68495.796   557996    68980
  B22   549520.102    66614.546   549149    67099
  B23   540924.181    64247.440   540553    64732
  B24   537671.432    55946.261   537300    56431
  B25   535423.563    47317.122   535052    47802
  B26   539129.620    41387.160   538758    41872
  B27   536968.665    34736.122   536597    35221
  B28   533522.706    27111.103   533151    27596
  B29   523624.722    25007.071   523253    25492
  B30   513726.838    22903.087   513355    23388
  B31   505782.051    27232.016   505410    27717
  B32   496755.134    30789.839   496383    31275
  B33   487939.290    29455.703   487567    29941
  B34   479909.327    32696.378   479537    33182
  B35   472427.172    37056.229   472055    37542
  B36   462225.064    36024.281   461853    36510
  B37   452253.235    33904.167   451881    34390
  B38   442282.367    31785.050   441910    32271
  B39   432310.500    29664.939   431938    30151
  B40   422339.677    27545.805   421967    28032
  B41   412367.778    25425.695   411995    25912
  B42   404117.909    23672.647   403745    24159
  B43   394070.072    22478.523   393697    22965
  B44   387299.073    29998.310   386926    30485
  B45   380528.056    37518.135   380155    38005
  B46   382765.903    47386.043   382393    47873
  B47   388749.792    54823.067   388377    55310
  B48   395431.662    59285.125   395059    59772
  B49   392648.798    66822.957   392276    67310
  B50   386869.734    73240.671   386497    73728
  B51   381090.631    79658.447   380718    80146
  B52   381090.446    88105.390   380718    88593
  B53   374340.469    97315.189   373968    97803
  B54   376625.285   108269.937   376253   108758
  B55   373070.218   116165.673   372698   116654
  B56   370686.124   124490.392   370314   124979
  B57   372934.868   133118.251   372563   133607
  B58   375833.667   142043.252   375462   142532
  B59   382633.451   148965.297   382262   149454
  B60   391229.281   151332.209   390858   151821
  B61   398027.982   158255.091   397657   158744
  B62   407999.698   160374.256   407629   160863
  B63   416807.407   162246.384   416437   162735
  B64   426997.182   158935.618   426627   159424
  B65   438191.866   155299.104   437822   155787
  B66   449386.798   151661.706   449017   152149
  B67   458202.764   152995.892   457833   153483
  B68   468174.592   155115.952   467805   155603
  B69   477914.233   158322.098   477545   158809
  B70   482974.889   165349.074   482606   165836
  B71   488992.487   171575.240   488624   172062
  B72   498964.304   173695.586   498596   174182
  B73   508935.109   175814.777   508567   176301
  B74   518834.769   177920.134   518467   178406
  B75   526546.783   174678.651   526179   175164
  B76   536749.825   175711.028   536382   176196
  B77   546720.654   177831.227   546353   178316
  B78   556692.421   179950.681   556325   180435
  B79   566432.392   183158.258   566065   183642
