   St.   E_TM     N_TM       Y_GK         X_GK
  475   412516    39808   412888.598    39321.522
  476   405868    38395   406240.695    37908.510
  477   401320    43446   401692.703    42959.371
  478   394673    42033   395045.786    41546.312
  479   399220    36982   399592.853    36495.414
   A1   598667   193702   599034.190   193219.438
   A2   603214   188651   603581.335   188168.645
   A3   601114   182187   601481.730   181704.500
   A4   605662   177137   606029.979   176654.578
   A5   610209   172086   610577.189   171603.668
   A6   608109   165623   608477.386   165140.565
   A7   612657   160572   613025.613   160089.646
   A8   617204   155522   617572.839   155039.704
   A9   621752   150471   622120.984   149988.786
  A10   615104   149058   615472.963   148575.595
  A11   608456   147645   608824.934   147162.457
  A12   601809   146232   602177.940   145749.400
  A13   599709   139769   600078.299   139286.290
  A14   593061   138356   593430.263   137872.944
  A15   586413   136943   586782.260   136459.684
  A16   579766   135530   580135.114   135046.366
  A17   577665   129066   578034.221   128582.291
  A18   571018   127653   571387.263   127169.213
  A19   564370   126240   564739.470   125756.092
  A20   562270   119777   562639.708   119293.096
  A21   555622   118364   555991.817   117879.690
  A22   553522   111900   553891.821   111415.685
  A23   551422   105436   551792.210   104951.584
  A24   555970   100386   556340.234    99901.690
  A25   553869    93922   554239.456    93437.780
  A26   551769    87459   552139.633    86974.697
  A27   556317    82408   556687.788    81923.786
  A28   554217    75945   554587.905    75460.713
  A29   547569    74532   547939.929    74047.544
  A30   540921    73119   541291.872    72634.442
  A31   534274    71706   534645.020    71221.353
  A32   532174    65242   532545.282    64757.266
  A33   530073    58779   530444.523    58294.090
  A34   527973    52315   528344.554    51830.005
  A35   525873    45851   526244.583    45365.946
  A36   530421    40801   530792.498    40315.972
  A37   528321    34337   528692.535    33852.058
  A38   521673    32924   522044.630    32439.064
  A39   515025    31511   515396.724    31026.069
  A40   510478    36562   510849.738    36076.975
  A41   503830    35149   504202.004    34663.853
  A42   499282    40199   499653.912    39713.613
  A43   492635    38786   493007.044    38300.640
  A44   485987    37373   486359.229    36887.593
  A45   481440    42424   481812.255    41938.454
  A46   476892    47475   477264.193    46989.303
  A47   470244    46062   470616.006    45576.206
  A48   463597    44649   463968.898    44163.299
  A49   456949    43236   457320.962    42750.221
  A50   450301    41823   450673.100    41337.078
  A51   443654    40410   444026.244    39923.948
  A52   437006    38997   437378.298    38510.871
  A53   430358    37584   430730.403    37097.844
  A54   423711    36170   424083.528    35683.749
  A55   417063    34757   417435.624    34270.649
  A56   410415    33344   410787.683    32857.565
  A57   403768    31931   404140.806    31444.548
  A58   397120    30518   397492.938    30031.457
  A59   392573    35569   392945.920    35082.309
  A60   388025    40620   388397.880    40133.223
  A61   390125    47083   390497.787    46596.170
  A62   396773    48496   397145.694    48009.210
  A63   403421    49909   403793.591    49422.292
  A64   405521    56373   405893.485    55886.321
  A65   407621    62836   407993.448    62349.315
  A66   403073    67887   403445.549    67400.192
  A67   398526    72937   398898.585    72449.958
  A68   393978    77988   394350.557    77500.750
  A69   389431    83038   389803.429    82550.655
  A70   391531    89502   391903.301    89014.545
  A71   386983    94552   387355.218    94064.470
  A72   382436    99603   382808.226    99115.306
  A73   384536   106067   384908.099   105579.226
  A74   386636   112530   387007.964   112042.034
  A75   382088   117581   382459.908   117092.811
  A76   377541   122631   377913.042   122142.634
  A77   379641   129095   380012.805   128606.456
  A78   381741   135558   382112.541   135069.450
  A79   383841   142022   384212.404   141533.385
  A80   390489   143435   390860.305   142946.521
  A81   397137   144848   397508.471   144359.578
  A82   399237   151311   399608.173   150822.363
  A83   405884   152724   406254.920   152235.480
  A84   412532   154137   412902.704   153648.576
  A85   419180   155550   419550.455   155061.657
  A86   423727   150500   424097.419   150011.832
  A87   430375   151913   430745.189   151424.926
  A88   434923   146862   435293.174   146374.180
  A89   441570   148275   441939.975   147787.438
  A90   446118   143225   446488.089   142737.669
  A91   452765   144638   453135.028   144150.872
  A92   459413   146051   459782.953   145563.984
  A93   466061   147464   466430.820   146977.072
  A94   472708   148877   473077.663   148390.198
  A95   479356   150290   479725.537   149803.409
  A96   486004   151703   486373.317   151216.468
  A97   488104   158166   488473.033   157679.403
  A98   490204   164630   490572.730   164143.362
  A99   496852   166043   497220.564   165556.594
 A100   503499   167456   503867.582   166969.854
 A101   510147   168869   510515.394   168382.991
 A102   516795   170282   517163.080   169796.173
 A103   521342   165231   521710.125   164745.504
 A104   527990   166644   528358.049   166158.796
 A105   534637   168057   535005.036   167572.033
 A106   541285   169470   541653.025   168985.119
 A107   547933   170883   548300.941   170398.309
 A108   554580   172296   554947.787   171811.611
 A109   561228   173709   561595.677   173224.940
 A110   567876   175122   568243.683   174638.276
 A111   574523   176535   574890.756   176051.586
 A112   576624   182999   576991.544   182515.639
 A113   578724   189463   579091.321   188979.623
 A114   585371   190876   585738.262   190392.860
 A115   592019   192289   592386.251   191806.150
   B1   595924   200887   596290.831   200404.284
   B2   603628   199547   603994.858   199064.636
   B3   608861   193735   609228.078   193252.899
   B4   610293   184138   610660.721   183655.850
   B5   615856   177171   616224.091   176688.902
   B6   617288   167574   617656.436   167091.869
   B7   622851   160606   623219.730   160123.966
   B8   629785   152905   630154.025   152423.088
   B9   626820   143780   627189.178   143297.912
  B10   616684   141626   617053.148   141143.654
  B11   608088   139259   608457.195   138776.438
  B12   603415   132788   603784.556   132305.392
  B13   594641   130923   595010.520   130439.908
  B14   586044   128556   586413.424   128072.498
  B15   579187   121621   579556.440   121137.492
  B16   570553   117085   570922.653   116601.349
  B17   563984   108501   564354.081   108017.023
  B18   564253    97695   564623.309    97210.964
  B19   562789    88236   563159.591    87751.935
  B20   563283    77828   563653.892    77343.948
  B21   557996    68980   558367.092    68495.773
  B22   549149    67099   549520.055    66614.575
  B23   540553    64732   540924.207    64247.479
  B24   537300    56431   537671.523    55946.308
  B25   535052    47802   535423.546    47317.073
  B26   538758    41872   539129.559    41387.109
  B27   536597    35221   536968.505    34736.085
  B28   533151    27596   533522.514    27111.122
  B29   523253    25492   523624.630    25007.135
  B30   513355    23388   513726.747    22903.131
  B31   505410    27717   505782.090    27232.010
  B32   496383    31275   496755.111    30789.807
  B33   487567    29941   487939.218    29455.766
  B34   479537    33182   479909.386    32696.549
  B35   472055    37542   472427.143    37056.157
  B36   461853    36510   462225.043    36024.428
  B37   451881    34390   452253.246    33904.179
  B38   441910    32271   442282.369    31785.032
  B39   431938    30151   432310.501    29664.930
  B40   421967    28032   422339.673    27545.793
  B41   411995    25912   412367.762    25425.696
  B42   403745    24159   404117.894    23672.641
  B43   393697    22965   394070.052    22478.530
  B44   386926    30485   387299.059    29998.318
  B45   380155    38005   380528.032    37518.135
  B46   382393    47873   382765.873    47386.046
  B47   388377    55310   388749.777    54823.077
  B48   395059    59772   395431.651    59285.125
